RCP,year,median,upper,lower
rcp26,2054,0.030655436452327933,0.23425746125402647,-0.22229358965387006
rcp26,2055,-0.006324611565386107,0.17608051530220548,-0.23165309275235835
rcp26,2056,0.020842752856665925,0.2188949307657019,-0.23501407090850568
rcp26,2057,-9.311719163882515e-4,0.19401955724250364,-0.23539527053495865
rcp26,2058,6.372274399346622e-4,0.2079786229933045,-0.2322286424507894
rcp26,2059,0.030639103856920258,0.21622912894535523,-0.20704042333122122
rcp26,2060,0.0037848872367760578,0.23678403003814766,-0.2497192864440553
rcp26,2061,-7.958294482044437e-4,0.20339488916169937,-0.21793732460033366
rcp26,2062,-0.009301162376303296,0.23219960726861893,-0.24419982565919407
rcp26,2063,3.573205209512764e-4,0.27334364434163066,-0.24651984795136367
rcp26,2064,0.023596985991964914,0.24957156154566387,-0.23609753962331242
rcp26,2065,0.006303852644844454,0.21007990977583618,-0.24683920824437988
rcp26,2066,0.010775373803419086,0.23737689732875256,-0.2596392880355985
rcp26,2067,-5.894371189008041e-4,0.2361876232846814,-0.26523331585090726
rcp26,2068,0.02000277416235363,0.24293434206987782,-0.25700906252812
rcp26,2069,-0.013593301632486288,0.233793257724801,-0.29050176202946876
rcp26,2070,-0.029101269519980377,0.21586926797151978,-0.2882674611184493
rcp26,2071,-0.012558513248951186,0.26383795680255623,-0.28581259757166605
rcp26,2072,0.0067333692672875145,0.2625686276410505,-0.29355581965838695
rcp26,2073,-0.017508173782829317,0.2586897807620179,-0.29846653525050326
rcp26,2074,-0.021952681200815505,0.22839126532663268,-0.302354328511773
rcp26,2075,0.010251409140494161,0.23779029766207843,-0.2997735950879372
rcp26,2076,0.01979411956865107,0.3141963888353458,-0.3140190192474499
rcp26,2077,-0.01105047469170728,0.28630328254545845,-0.2869380699310158
rcp26,2078,-0.008457313932812127,0.22684765714237826,-0.28968552281553417
rcp26,2079,-0.010512633803813287,0.24182408654220813,-0.2807731338884851
rcp26,2080,0.006564573015772623,0.25381090688783414,-0.293196966987065
rcp26,2081,-0.027950841000400573,0.24315931013927705,-0.3314645865738409
rcp26,2082,-0.02342334249096467,0.2673165913321014,-0.3634544091372227
rcp26,2083,-0.019375788175523212,0.26773584195822586,-0.31695559766380366
rcp26,2084,-0.007624697603681341,0.2988281307634682,-0.33120078126906305
rcp26,2085,-9.428281570578179e-4,0.28392150545763567,-0.3072161995046823
rcp26,2086,-0.0022465268553233386,0.27248330270940535,-0.36430359874091756
rcp26,2087,-0.010861246071261377,0.300318866085292,-0.33492217553221376
rcp26,2088,0.009369612103132141,0.2489266001656239,-0.30818382194861726
rcp26,2089,-0.015955906975975154,0.26870725256360006,-0.3490060152713916
rcp26,2090,0.025111251131296086,0.3029826599510065,-0.3258875265202281
rcp26,2091,0.017684064568680213,0.3286049809173317,-0.3264393789023387
rcp26,2092,-0.04169302376660511,0.2718239308465893,-0.3769635663132668
rcp26,2093,-0.03956471489685498,0.27399973537623057,-0.3872116434759626
rcp26,2094,-0.012471102225674713,0.25766543728424834,-0.3456377384897838
rcp26,2095,-0.002327041254652329,0.23562589785103538,-0.385317370710278
rcp26,2096,-0.016664384140849364,0.24989883151105408,-0.39751592471341457
rcp26,2097,0.006257429017207272,0.30342672716757574,-0.37273308644264525
rcp26,2098,-0.003246316362520929,0.3028650468892372,-0.3553943462094807
rcp26,2099,-0.053831050699393757,0.24386494413911708,-0.4182673216467602
rcp26,2100,-0.01217147912315042,0.2938671587521518,-0.42759052071988124
rcp45,2015,0.0028121585472327126,0.18333401112621564,-0.18985633646393402
rcp45,2016,-0.0038150774488929784,0.11664226933115422,-0.21693328418958766
rcp45,2017,7.932940436781166e-4,0.2085227886717898,-0.20733694914585107
rcp45,2018,0.005766593631673089,0.2068004614706723,-0.12838526799810382
rcp45,2019,0.0030225952677618295,0.10430073627752202,-0.11379990493861918
rcp45,2020,0.005142290600591792,0.15927728375292494,-0.15106996540046075
rcp45,2021,0.0444499895433772,0.16620347338332972,-0.0843032470478299
rcp45,2022,0.026953269180925332,0.14949724919709304,-0.11722914795507611
rcp45,2023,0.0219659465760369,0.17479381274060157,-0.08660738015302344
rcp45,2024,0.04502233199456995,0.1919494529604889,-0.08088813185997204
rcp45,2025,0.026606847780138665,0.2084124603019269,-0.11882028097934558
rcp45,2026,0.015991138796547233,0.27081454654223475,-0.14714549790808318
rcp45,2027,0.017839315609553097,0.21543117253840652,-0.1253265448181562
rcp45,2028,0.04461401347482408,0.24148062276392276,-0.08472386241366969
rcp45,2029,0.06328784179435942,0.2513541025804567,-0.07986087138394282
rcp45,2030,0.028219333679665226,0.28509906236154625,-0.10792069072448456
rcp45,2031,0.06836082999596726,0.3026395642625051,-0.14843228824214308
rcp45,2032,0.06321936184061627,0.3535345667815445,-0.12578589503997506
rcp45,2033,0.07041434480153441,0.28412495890154843,-0.13411769997509
rcp45,2034,0.05970634517021267,0.2732204820298605,-0.17244943825060302
rcp45,2035,0.07375281313267834,0.27676099678435573,-0.14145043861505896
rcp45,2036,0.061289913830123055,0.2692314534621693,-0.14990969234405646
rcp45,2037,0.08384885824854393,0.31452351527442124,-0.14982338431834455
rcp45,2038,0.08918824786255186,0.3267218903604554,-0.17439970966573687
rcp45,2039,0.09619091338127816,0.36263169122635036,-0.172656653622699
rcp45,2040,0.09547789864189227,0.3191421120576073,-0.18273759027473646
rcp45,2041,0.07249294413609775,0.31197999438760243,-0.19868272289348338
rcp45,2042,0.10397888468436634,0.33012493619444744,-0.17819046483091316
rcp45,2043,0.09680444349919881,0.4245383940156098,-0.20279741040710347
rcp45,2044,0.0970794089208411,0.38955929038799214,-0.20789775759640977
rcp45,2045,0.08644506027406607,0.40322034034315923,-0.23426550753973974
rcp45,2046,0.07803947255284172,0.37999135063923856,-0.25915105086819634
rcp45,2047,0.08962666511872897,0.3808028794109613,-0.24196120348748645
rcp45,2048,0.08006653704947198,0.38561377670449093,-0.25566591004191147
rcp45,2049,0.11583466531738296,0.4310068841342062,-0.24739250725774103
rcp45,2050,0.0919291446444852,0.36808601703800004,-0.25546362755644925
rcp45,2051,0.07582366999113788,0.4060734225432337,-0.2840351793065398
rcp45,2052,0.0749080501971271,0.42017082463387817,-0.3117789835040132
rcp45,2053,0.05900512924512746,0.40666616614832757,-0.31114380490994703
rcp45,2054,0.08924572151923371,0.44763146207870613,-0.3003136359465641
rcp45,2055,0.08379712330019018,0.4418423901470373,-0.31035776049986175
rcp45,2056,0.10682186608324251,0.44086980287111677,-0.30834257864833603
rcp45,2057,0.07333380315558458,0.43470888621339143,-0.34692275048170346
rcp45,2058,0.044413402300936156,0.43603470679735906,-0.4081033944359607
rcp45,2059,0.056390141926478066,0.4267434522960858,-0.3983361880387196
rcp45,2060,0.08501018617282696,0.48752032082140706,-0.3863702772103984
rcp45,2061,0.06760836391522318,0.4952600564926242,-0.3935902712365946
rcp45,2062,0.06229997610013527,0.46006089223899355,-0.39927113976145273
rcp45,2063,0.07807735020526962,0.5448942563774679,-0.41907212450403203
rcp45,2064,0.08281197336681956,0.5280448948679318,-0.41128664603389853
rcp45,2065,0.06434241245430172,0.48979502601215885,-0.46256431090355893
rcp45,2066,0.07857474698280242,0.5185546609912165,-0.43149722646074706
rcp45,2067,0.04296969699474218,0.4948486464441845,-0.48083378904082075
rcp45,2068,0.06354806096065957,0.5275894600526362,-0.46856293414593625
rcp45,2069,0.024781919956900822,0.5112424324294252,-0.48397853145358966
rcp45,2070,0.06478577039863964,0.5255333253356429,-0.44258819750448236
rcp45,2071,0.07314956341635792,0.6365764191500903,-0.5053955177811346
rcp45,2072,0.029775079278557826,0.5287434985927938,-0.5378630123307331
rcp45,2073,0.035901241858042,0.5423026250531496,-0.5541131392474042
rcp45,2074,0.009551632526459741,0.5596536449449959,-0.5515042200314568
rcp45,2075,0.031783426561972306,0.5206884250942191,-0.5580420667319201
rcp45,2076,-0.010830295405963142,0.593764356457851,-0.6099173454422822
rcp45,2077,-0.00435521084781243,0.564099211359429,-0.5810498259197011
rcp45,2078,0.04547531163470708,0.5988486073474156,-0.5695428286369807
rcp45,2079,-0.0018623858987716346,0.5588940397523294,-0.6267410962955271
