scenario,year,month,median,upper,lower
hist-nat,1915,Jul,-0.9833858621230576,-0.26234302582885927,-1.7888065456046203
hist-nat,1915,Jun,-0.8217953482786235,-0.13032830563147782,-1.536163015278424
hist-nat,1915,Mar,0.06429776417193622,0.663499167135031,-0.6316512610755616
hist-nat,1915,May,-0.45647149541234455,0.05258469592162916,-0.9483260867938917
hist-nat,1915,Nov,0.9170582696571259,1.5462686108527897,0.4509669533499217
hist-nat,1915,Oct,0.7050606776392598,1.2777420962870594,0.17734809303445032
hist-nat,1915,Sep,0.07887892991601575,0.4792007617208555,-0.35082759506793904
hist-nat,1916,Apr,-0.1277407209215511,0.4671972663313191,-0.8375116619073152
hist-nat,1916,Aug,-0.530054485531771,-0.013682686567710774,-1.1157421127059286
hist-nat,1916,Dec,0.7251033177316231,1.1603431443785979,0.3020063011000055
hist-nat,1916,Feb,-0.044050015159385225,0.5569067273425655,-0.7476693197996573
hist-nat,1916,Jan,0.3617273592773458,0.8968347237237118,-0.18625967792967657
hist-nat,1916,Jul,-0.9742427467341699,-0.24961219329654943,-1.8591370703222572
hist-nat,1916,Jun,-0.7811373223589335,-0.06498955355026317,-1.5689900951481999
hist-nat,1916,Mar,-0.12472805967142264,0.49488644848362034,-0.8531571230949524
hist-nat,1916,May,-0.39132606601166486,0.06463242365018104,-0.9575681777950951
hist-nat,1916,Nov,0.9966589884239063,1.6185972497373542,0.4765292944495645
hist-nat,1916,Oct,0.7869576948437356,1.357996130785401,0.09991877006784053
hist-nat,1916,Sep,0.05248619673775323,0.4737906191870266,-0.4131506210992917
hist-nat,1917,Apr,-0.11719162776626035,0.498786420211138,-0.7845120635902699
hist-nat,1917,Aug,-0.4909960817219563,-0.012933382892073901,-0.9979102614132749
hist-nat,1917,Dec,0.7393439350572066,1.3382403500617066,0.26298292551224417
hist-nat,1917,Feb,0.1497110931639618,0.7594626277637792,-0.5776139214525133
hist-nat,1917,Jan,0.4089051547188376,0.9819946791552563,-0.1474582442613844
hist-nat,1917,Jul,-0.9709433415028812,-0.29257695358210994,-1.6854454810900967
hist-nat,1917,Jun,-0.7254373363083353,-0.14455796649375954,-1.3807692235455682
hist-nat,1917,Mar,0.04411875195680892,0.6960616316515102,-0.5947608179480448
hist-nat,1917,May,-0.2724062961097502,0.19854896590710694,-0.7502755293543807
hist-nat,1917,Nov,0.94599879793806,1.6125330934523239,0.4205471110823258
hist-nat,1917,Oct,0.7207190609798388,1.3948213280060493,0.16871710433993775
hist-nat,1917,Sep,0.025154974451329082,0.3583889381120727,-0.5370836231690816
hist-nat,1918,Apr,-0.16524856500822693,0.41273437472742863,-0.8388010488717377
hist-nat,1918,Aug,-0.5835290455160713,0.04169150511765476,-1.301362822001958
hist-nat,1918,Dec,0.7786049592965689,1.2316522852954976,0.3586667808711884
hist-nat,1918,Feb,0.14651386071176375,0.7714620895084693,-0.5958563783708022
hist-nat,1918,Jan,0.47431588933645585,1.0030352431819265,-0.16838893514052378
hist-nat,1918,Jul,-0.9309574018061504,-0.20260215250419053,-1.7669212783730421
hist-nat,1918,Jun,-0.7118715137352609,-0.10234650023353956,-1.5368426942018558
hist-nat,1918,Mar,0.04911526984595582,0.704925089674134,-0.6897568343168283
hist-nat,1918,May,-0.43703810420498357,0.013438285493699574,-1.0512119457481375
hist-nat,1918,Nov,0.9700443843677,1.6270035597392598,0.38301264276540903
hist-nat,1918,Oct,0.7950024449978415,1.4185713851410098,0.12215784454862763
hist-nat,1918,Sep,0.1437276409572874,0.5448567361855705,-0.2954143638090975
hist-nat,1919,Apr,-0.13076772801714043,0.38441969332702525,-0.6670527729169082
hist-nat,1919,Aug,-0.5949347393360469,-0.11125388261653665,-1.2594727371963805
hist-nat,1919,Dec,0.7172423031602904,1.1515967940949063,0.33351292129803306
hist-nat,1919,Feb,0.14936626181069101,0.7389953975354836,-0.5145357126701671
hist-nat,1919,Jan,0.46806892560845803,1.131434515212597,-0.16926164631728324
hist-nat,1919,Jul,-0.9057246674271404,-0.16529915243333082,-1.8336436711019672
hist-nat,1919,Jun,-0.649440527516127,-0.0765388582961464,-1.3508009728961576
hist-nat,1919,Mar,-0.045679833203539744,0.5270578251902449,-0.7658083983161663
hist-nat,1919,May,-0.3616258095571556,0.1296661895143763,-0.9032811491248501
hist-nat,1919,Nov,0.8823311853913225,1.4434493693918369,0.4038110805173741
hist-nat,1919,Oct,0.6263457667206254,1.0739668995269276,0.17889052191411015
hist-nat,1919,Sep,-0.013171274956388146,0.32988057052157904,-0.4063589829028409
hist-nat,1920,Apr,-0.04712778313452404,0.5546011973466737,-0.6279550371444994
hist-nat,1920,Aug,-0.5269684961853436,-0.07803421909049543,-1.1429007330447642
hist-nat,1920,Dec,0.7619026736749674,1.228211674534054,0.30872865356035123
hist-nat,1920,Feb,0.013520491974709614,0.7682570941785924,-0.695333386525164
hist-nat,1920,Jan,0.4357293014801229,0.9790207520963519,-0.13058512479073306
hist-nat,1920,Jul,-0.9412760707332843,-0.22957061521750116,-1.7690397233261754
hist-nat,1920,Jun,-0.7447899208083477,-0.1357253874796657,-1.4444364274666803
hist-nat,1920,Mar,-0.03657827680784109,0.5398160105372622,-0.6157033930213351
hist-nat,1920,May,-0.45693661617510983,-0.010921066185801125,-0.8949351841966813
hist-nat,1920,Nov,0.8557449984319128,1.457018433942522,0.3934752747969983
hist-nat,1920,Oct,0.6375446857668585,1.324251285452154,0.09717124242703612
hist-nat,1920,Sep,0.06266374780738637,0.5991078616291392,-0.3776113872040618
hist-nat,1921,Apr,-0.262833646092826,0.28170094337622653,-0.9336652572910384
hist-nat,1921,Aug,-0.5403634599643752,-0.06589867053169474,-1.1227046707135095
hist-nat,1921,Dec,0.7778014002732263,1.2400765024315312,0.3522686190799238
hist-nat,1921,Feb,0.17802747297544386,0.8189692300029048,-0.5997622995714235
