scenario,region,year,median,upper,lower
ssp126,Sub-Saharan Africa (Southern),2066,0.34469572933297243,0.8893713567359931,-0.08167966108005124
ssp126,Sub-Saharan Africa (Southern),2067,0.4421477453147773,1.0980866684292174,-0.11309461493299064
ssp126,Sub-Saharan Africa (Southern),2068,0.26189949413738134,0.8268073088882011,-0.21802376760459977
ssp126,Sub-Saharan Africa (Southern),2069,0.3391428125941083,0.797555851555289,-0.10167692266317978
ssp126,Sub-Saharan Africa (Southern),2070,0.34679034436465983,0.95337961447864,-0.12334448709656769
ssp126,Sub-Saharan Africa (Southern),2071,0.3477213180173919,0.94534371299895,-0.08827304821313077
ssp126,Sub-Saharan Africa (Southern),2072,0.27275437434835936,0.6842480557546329,-0.1742830450841845
ssp126,Sub-Saharan Africa (Southern),2073,0.40244213301357945,1.1365610437958624,-0.08751758507141183
ssp126,Sub-Saharan Africa (Southern),2074,0.35522432006674265,0.9154415003746637,-0.04594357573190278
ssp126,Sub-Saharan Africa (Southern),2075,0.323614701877716,0.7717084334830305,-0.14292210537041006
ssp126,Sub-Saharan Africa (Southern),2076,0.29682335329503573,0.9794852888071423,-0.05610629499738521
ssp126,Sub-Saharan Africa (Southern),2077,0.34313709124579717,0.8628544585259518,-0.14332635239088504
ssp126,Sub-Saharan Africa (Southern),2078,0.40522064607020525,0.9807665379350015,-0.09552103043113946
ssp126,Sub-Saharan Africa (Southern),2079,0.4019662150834442,0.9073078884672784,0.011381024715519853
ssp126,Sub-Saharan Africa (Southern),2080,0.4431991976863898,1.0565044499899197,-0.03521231302413684
ssp126,Sub-Saharan Africa (Southern),2081,0.36905440792470046,0.8714887942029341,-0.16187144859634867
ssp126,Sub-Saharan Africa (Southern),2082,0.39697133250292893,1.043311997715393,-0.07601247859951492
ssp126,Sub-Saharan Africa (Southern),2083,0.29433457964309184,0.8941350765898729,-0.11975209200284025
ssp126,Sub-Saharan Africa (Southern),2084,0.4439362690385593,0.9505725217499185,0.012128959728273637
ssp126,Sub-Saharan Africa (Southern),2085,0.3922988042613973,0.9205653598745841,-0.2372704095940435
ssp126,Sub-Saharan Africa (Southern),2086,0.33376793965066653,1.0877570739685536,-0.14818759784818666
ssp126,Sub-Saharan Africa (Southern),2087,0.44807159842132194,1.1189398415282006,-0.01723815935619689
ssp126,Sub-Saharan Africa (Southern),2088,0.3296095261465446,0.8017488339437678,-0.003521182155097674
ssp126,Sub-Saharan Africa (Southern),2089,0.35228880921332717,0.9654482914044442,-0.041398152253843
ssp126,Sub-Saharan Africa (Southern),2090,0.38220512276891583,0.9991729091838236,-0.052228270541941055
ssp126,Sub-Saharan Africa (Southern),2091,0.3522288217827523,0.9547229652650235,-0.2356700118846149
ssp126,Sub-Saharan Africa (Southern),2092,0.32682504888477837,1.1100127697518754,-0.3360221587066082
ssp126,Sub-Saharan Africa (Southern),2093,0.40245771074040704,1.1429399680043475,-0.13032817684211223
ssp126,Sub-Saharan Africa (Southern),2094,0.3819722348128174,0.9421786687613557,-0.037886466630937206
ssp126,Sub-Saharan Africa (Southern),2095,0.3778038732150346,1.1168683862934181,-0.04719522200303848
ssp126,Sub-Saharan Africa (Southern),2096,0.3005837187315059,0.9800091575159463,-0.09430858527417314
ssp126,Sub-Saharan Africa (Southern),2097,0.2908778811425172,0.8475447861884297,-0.11043506146918779
ssp126,Sub-Saharan Africa (Southern),2098,0.25939510546574596,0.8570098895953743,-0.1905717039876087
ssp126,Sub-Saharan Africa (Southern),2099,0.4152984940728679,1.0835538504364175,0.03716860139895531
ssp126,Sub-Saharan Africa (Southern),2100,0.25487322642321786,0.7476219367675752,-0.1239483016905357
ssp126,Sub-Saharan Africa (West),2015,0.3371938689713545,0.7218288658324671,0.05329772300308504
ssp126,Sub-Saharan Africa (West),2016,0.028290764314661487,0.2587579542744265,-0.18375841342172486
ssp126,Sub-Saharan Africa (West),2017,-0.05220938522952423,0.2262109282207115,-0.27412468178146876
ssp126,Sub-Saharan Africa (West),2018,-8.313502040877552e-4,0.17156651750966212,-0.2807590261224206
ssp126,Sub-Saharan Africa (West),2019,-0.12232401549991678,0.06195655296883265,-0.3386486003131839
ssp126,Sub-Saharan Africa (West),2020,-0.18055747332919836,0.10361361238854057,-0.5740063151607021
ssp126,Sub-Saharan Africa (West),2021,-0.08057985862192396,0.12635973611769372,-0.5906089017304124
ssp126,Sub-Saharan Africa (West),2022,-0.15484504827056433,0.12122319184271722,-0.359386810797422
ssp126,Sub-Saharan Africa (West),2023,-0.13051427972504825,0.06751988287121655,-0.38299998208103536
ssp126,Sub-Saharan Africa (West),2024,-0.1996192988605472,0.06667519694489664,-0.5181078943569443
ssp126,Sub-Saharan Africa (West),2025,-0.2352063227217478,0.021044570629868507,-0.4857725097949562
ssp126,Sub-Saharan Africa (West),2026,-0.19920580978623192,0.002727266182708178,-0.48127927441094936
ssp126,Sub-Saharan Africa (West),2027,-0.06390700366997848,0.12588848028689642,-0.4731293040161283
ssp126,Sub-Saharan Africa (West),2028,-0.16183762309027117,-0.025963029272922003,-0.3872614008818879
ssp126,Sub-Saharan Africa (West),2029,-0.3084398986476522,-0.06287244731558737,-0.599198786292758
ssp126,Sub-Saharan Africa (West),2030,-0.278947387201093,-0.078377801940205,-0.6568836166652708
ssp126,Sub-Saharan Africa (West),2031,-0.3139183036929296,-0.009682087040361342,-0.6529740944640323
ssp126,Sub-Saharan Africa (West),2032,-0.2737603265100397,-0.05997230844856888,-0.716135637892772
ssp126,Sub-Saharan Africa (West),2033,-0.2901571485656298,0.044408250003198174,-0.8271162783954786
