scenario,year,median,upper,lower
ssp126,2063,-0.09501799966116309,0.1394623842767558,-0.5080164946070539
ssp126,2064,-0.09917612211699023,0.14450707060379517,-0.5211785155587574
ssp126,2065,-0.08893599373494077,0.11752732515305747,-0.4059833448207666
ssp126,2066,-0.13936925142889223,0.10902785273965131,-0.5140490966539584
ssp126,2067,-0.06675005827225888,0.18704447439122543,-0.5327151271342238
ssp126,2068,-0.07599633743588541,0.1358567900316422,-0.39238797313583335
ssp126,2069,-0.12846431352404508,0.12161197520402307,-0.4871778228513852
ssp126,2070,-0.14230214325434076,0.1506909850260862,-0.4798998424691135
ssp126,2071,-0.08215515745041913,0.15185547120334117,-0.4854669092370495
ssp126,2072,-0.09703001658109756,0.0943657732402236,-0.44892784526468327
ssp126,2073,-0.08032272656556216,0.1673964215525393,-0.43680221848506945
ssp126,2074,-0.106355783182142,0.17588050578348047,-0.45272081144930526
ssp126,2075,-0.10717238263758411,0.1334581647972484,-0.44828994745173883
ssp126,2076,-0.086773531849623,0.15013151942149686,-0.40592700363807754
ssp126,2077,-0.17484139747016414,0.12887752622067125,-0.5076043734988677
ssp126,2078,-0.08659807552752241,0.17383037290352515,-0.4495849176120333
ssp126,2079,-0.0824730383442791,0.18422648758610571,-0.45788436006456124
ssp126,2080,-0.08054407205630909,0.15124445719140764,-0.42787896327866654
ssp126,2081,-0.12318403054410965,0.13361181800697855,-0.465570889671541
ssp126,2082,-0.128713951594694,0.14054924569501273,-0.4743965268322142
ssp126,2083,-0.13033997942138598,0.15259345683742084,-0.4350865833044182
ssp126,2084,-0.12445606462325998,0.17463883167589456,-0.47306522558784464
ssp126,2085,-0.05517122341241176,0.18495713804740938,-0.5261632071597084
ssp126,2086,-0.0477962092639288,0.2052137616835061,-0.5117596313052871
ssp126,2087,-0.06452908275421265,0.16392242653005512,-0.44586838249857197
ssp126,2088,-0.08888259052607594,0.13233888309310457,-0.4001765256101315
ssp126,2089,-0.12951275129348083,0.0883087075046872,-0.452951882891233
ssp126,2090,-0.09643885302543609,0.1312951518829919,-0.4698521311471878
ssp126,2091,-0.11771426704071786,0.1460108495447168,-0.5074453667196561
ssp126,2092,-0.08820335711602567,0.1312458207404122,-0.5263853322189316
ssp126,2093,-0.05929993360973995,0.21830422181187564,-0.37547252441527573
ssp126,2094,-0.07292099800256224,0.2113880365100477,-0.42034494666801797
ssp126,2095,-0.08358955856996175,0.12300773175901471,-0.5292963464344184
ssp126,2096,-0.03185009052288024,0.23836614620766697,-0.4395214769781787
ssp126,2097,-0.06435549058621604,0.1393595085274034,-0.37944273697861175
ssp126,2098,-0.12148537549910188,0.1149870958924708,-0.4647989043655844
ssp126,2099,-0.08516913042878116,0.19585315548681229,-0.5009961174397076
ssp126,2100,-0.1080691409805894,0.1504352832892376,-0.5180103556588302
ssp245,2015,-0.014935999805624434,0.15749618492904913,-0.15205795113714798
ssp245,2016,-0.018837450433679237,0.08999100449685427,-0.15716065127134973
ssp245,2017,0.031928574826551426,0.16831618762771716,-0.12232811868818061
ssp245,2018,0.012273481945683784,0.14092699181422003,-0.09588426069328458
ssp245,2019,0.0064166061855495116,0.09881959427418568,-0.16468980923473672
ssp245,2020,-0.03567077077149605,0.06182524717485405,-0.22530736080386013
ssp245,2021,-0.005034553144536602,0.08178944909793252,-0.11876735351596074
ssp245,2022,-0.016250949378505908,0.13524922581291102,-0.1484308104186148
ssp245,2023,0.018398672556390494,0.17523982076994954,-0.20287193304218892
ssp245,2024,-0.02716896527088508,0.0997372176773043,-0.1992256067653699
ssp245,2025,-0.05175801897406984,0.07823578417938319,-0.20747706578783676
ssp245,2026,-0.052701563897667114,0.10340597112028113,-0.30244917984959585
ssp245,2027,-0.04652687706246539,0.1303600989302019,-0.3174323329924409
ssp245,2028,-0.03879986321609863,0.11317788105928943,-0.2269777352414252
ssp245,2029,-0.027733108850259924,0.189157217818148,-0.2100036824800437
ssp245,2030,-0.057013855514792766,0.0893256453065432,-0.2488226423764363
ssp245,2031,-0.051175058100497495,0.12619819168211335,-0.2358674220786911
ssp245,2032,-0.04861829055186817,0.12088004277921324,-0.22283527402254305
ssp245,2033,-0.04118698679237198,0.1582527279742116,-0.2509891392710724
ssp245,2034,-0.06966152920000468,0.13273289979041775,-0.37460618028738396
ssp245,2035,-0.0018309145402142235,0.21250456908226797,-0.3294089839063593
ssp245,2036,-0.040542541332641235,0.131421017655413,-0.23907669106892548
ssp245,2037,-0.06349601713640496,0.16693371595594603,-0.29647127037134663
ssp245,2038,-0.05729888329918609,0.2250479470279819,-0.33421475660666644
ssp245,2039,-0.07085332259202204,0.17475862317967097,-0.3432231315835065
ssp245,2040,-0.0876026937861365,0.12460254652429285,-0.3890479386486394
ssp245,2041,-0.08862486083219068,0.15242062951993374,-0.39143438852339224
ssp245,2042,-0.09874225115671109,0.12326423601229242,-0.4518879124380003
ssp245,2043,-0.07402040261712628,0.18906604035805896,-0.3612701158431756
ssp245,2044,-0.08473385899933206,0.16485127158653284,-0.3961550644120427
ssp245,2045,-0.0981484308680578,0.19110111812231548,-0.4306392675556444
ssp245,2046,-0.13923172728575395,0.10851065613415423,-0.500636190304769
ssp245,2047,-0.12895434106611248,0.17116614713475167,-0.44897638872975987
ssp245,2048,-0.1643396598399356,0.13861961163657557,-0.5881313105517957
ssp245,2049,-0.1456604800072938,0.17499690197093878,-0.531180889622772
ssp245,2050,-0.13468647744491946,0.16399297300404747,-0.5184499443095332
ssp245,2051,-0.09378754810933287,0.21265363755011138,-0.5478510593740615
ssp245,2052,-0.15516721809376222,0.1808079541504918,-0.5540798777664672
ssp245,2053,-0.1365358705064068,0.1714869034036219,-0.583966987313421
ssp245,2054,-0.11576513518815545,0.19204029954174223,-0.5701996992052824
ssp245,2055,-0.18233747410726409,0.16041134364589257,-0.6554707903691298
ssp245,2056,-0.18484186242336875,0.1612286962564762,-0.6457040062675129
ssp245,2057,-0.2138224062341081,0.17737433593330068,-0.6747357696489146
ssp245,2058,-0.16964027568586282,0.182991550820003,-0.6525464481384154
ssp245,2059,-0.21651732714833116,0.16204857951429538,-0.7907748775855623
ssp245,2060,-0.1982573916386876,0.16747650808763195,-0.6445260101900441
ssp245,2061,-0.23423316631584257,0.12320786951870648,-0.7568068265087196
ssp245,2062,-0.1921574626516609,0.15683437189079893,-0.8200599156549297
ssp245,2063,-0.22440697102975093,0.14337250776437527,-0.7188746490875971
ssp245,2064,-0.22135674473315703,0.15689817976173107,-0.7414171761864846
ssp245,2065,-0.21520911524571318,0.17172693134998,-0.7610342125838496
ssp245,2066,-0.18845373317566327,0.21598193385558986,-0.7533281508488681
ssp245,2067,-0.25304359496783135,0.14561574180533443,-0.838820227450119
ssp245,2068,-0.23862225886774802,0.2096538820334701,-0.7881153458402448
ssp245,2069,-0.23840153856143687,0.18531927241164975,-0.7958418470422789
ssp245,2070,-0.23641539256942679,0.19085587922376748,-0.8161643868124329
ssp245,2071,-0.22010541499607683,0.20271798538656952,-0.87642221147254
ssp245,2072,-0.28424654414867945,0.1719323304160586,-0.8419355403970178
ssp245,2073,-0.30565750310239537,0.17507459761814254,-1.034771613481659
ssp245,2074,-0.27093666377876247,0.14506881559942744,-0.9070134396931827
ssp245,2075,-0.28612715623355456,0.14866120068441008,-0.9252274365912437
ssp245,2076,-0.2815912485317398,0.20892442418740945,-0.9787127750002067
ssp245,2077,-0.33193854021344826,0.1539534336717499,-0.9922552094317719
ssp245,2078,-0.3468378802824006,0.12514903429515262,-1.008296506108703
ssp245,2079,-0.2688203649882226,0.20530063012954958,-0.9432719376758806
ssp245,2080,-0.26867949460412177,0.16332038315223527,-0.8600936312562109
ssp245,2081,-0.32688934448464124,0.15488919664234554,-1.0372322123485032
ssp245,2082,-0.33995286602795005,0.17803072620614233,-0.9884607953077018
ssp245,2083,-0.3488438827392031,0.17858221108804115,-1.053937472557168
ssp245,2084,-0.3405547336141801,0.1292371983938821,-1.0615058709351477
ssp245,2085,-0.36809209632078677,0.1474035762652582,-1.1734865716359626
ssp245,2086,-0.34284691969451586,0.20085126343183693,-1.0719764498696032
ssp245,2087,-0.3665166215299571,0.14276863743101395,-1.1520972882815488
ssp245,2088,-0.36221936368103513,0.13415502590649309,-1.0668661759098255
ssp245,2089,-0.3471067986022831,0.15953787013437307,-1.0452895920733756
ssp245,2090,-0.3731307723949726,0.16037818530399406,-1.1480964325902783
ssp245,2091,-0.34209667318231496,0.17343116077105697,-1.2445001061168224
ssp245,2092,-0.3795666785537506,0.15884451832887603,-1.0745471897486192
ssp245,2093,-0.366589780990747,0.15649406044388822,-1.1151459341531538
ssp245,2094,-0.42525432349577486,0.14067131841820113,-1.2284731911724918
ssp245,2095,-0.4477131334227238,0.1447022369815588,-1.3618157939606752
ssp245,2096,-0.3413184409114063,0.18273543922275087,-1.2119993252870014
ssp245,2097,-0.3050948268916258,0.19027610767518435,-1.1506959685494311
ssp245,2098,-0.34154216606360066,0.21752842907762576,-1.1661772009239637
ssp245,2099,-0.4522978276186187,0.09806344892423391,-1.3173558319763397
ssp245,2100,-0.5035930395374173,0.09058416704376412,-1.3650649216458195
ssp585,2015,0.016075484658628625,0.18999244517782288,-0.16020860038844553
ssp585,2016,-5.629099749882016e-4,0.07345990154115682,-0.17218276188264703
ssp585,2017,0.0061205010744807,0.17928282714037583,-0.14970373902625053
ssp585,2018,-0.007942158575147573,0.13141412632401453,-0.14780472488134552
ssp585,2019,0.003702636654210778,0.1464409639877025,-0.14735854619185776
ssp585,2020,-0.00543773807002168,0.12907982456845907,-0.13661087595558888
ssp585,2021,0.0031954482832503572,0.15505351911023407,-0.1576847846593868
ssp585,2022,0.014049088837712276,0.14775803690426198,-0.1456171625250647
ssp585,2023,0.03230324703411469,0.14383291202406984,-0.22024242524353388
ssp585,2024,0.01459429720917882,0.1604096769055413,-0.17452113723316245
ssp585,2025,-0.0077874802973312285,0.13736379936907522,-0.1594449807711025
ssp585,2026,0.006980322041549414,0.2120421524605138,-0.22009124011356443
ssp585,2027,-0.02865372749367623,0.12037078206998308,-0.23496597832262545
ssp585,2028,-0.037737822029775714,0.20849444117885055,-0.2548495383623466
ssp585,2029,-0.021654186817730903,0.18124286775630186,-0.30362079775314366
ssp585,2030,-0.004136549257722777,0.23220640002042922,-0.3226346784231774
ssp585,2031,-0.023300591629045186,0.18480845042167424,-0.24583935303410198
ssp585,2032,-0.022230604537671894,0.21854402500567782,-0.26180559075335313
ssp585,2033,-0.008399103663332852,0.22273879219736506,-0.2830131740686605
ssp585,2034,-0.02103825472689813,0.18856613578061632,-0.27711620702032674
ssp585,2035,-0.028552677318369746,0.151533160555957,-0.30739260917754907
ssp585,2036,-0.09125425757681072,0.1695098331165495,-0.41800812878814425
ssp585,2037,-0.06807789913474593,0.17052459635498915,-0.3754213854086993
ssp585,2038,-0.09356922815528179,0.19876665030116725,-0.3943137657962868
ssp585,2039,-0.030102320416208528,0.26129681458457304,-0.47712519714729135
ssp585,2040,-0.10543874975120815,0.17730866029735592,-0.47590823778371455
ssp585,2041,-0.04941184862592607,0.28256875123279496,-0.4014619123186362
ssp585,2042,-0.12063021587147027,0.18190395851925945,-0.5454540643345627
ssp585,2043,-0.14868427312353205,0.1974375851821129,-0.6146093881109639
ssp585,2044,-0.12185983617469986,0.2589986759415657,-0.5603103112612551
ssp585,2045,-0.19112423042844284,0.19100004170951795,-0.6146768684244599
ssp585,2046,-0.15438816422271096,0.24099303683665835,-0.6698822995067669
ssp585,2047,-0.17124191072668182,0.20672685730451157,-0.7521970755807338
ssp585,2048,-0.17952437212217376,0.23710736286096706,-0.6826241883908633
ssp585,2049,-0.2263703501208898,0.19637456177736284,-0.7566626910148666
ssp585,2050,-0.22649185393215276,0.22469033595499652,-0.726738307215188
ssp585,2051,-0.2415263907010825,0.19417381341499787,-0.772977835506532
ssp585,2052,-0.24458084089063803,0.19167150733722732,-0.8531708936953601
ssp585,2053,-0.3057376321668386,0.16322394544032245,-0.9617594553611397
ssp585,2054,-0.25905142585222407,0.22539072953648107,-0.8862028039674122
ssp585,2055,-0.35908866400047756,0.15525436602661094,-1.0131549495100505
ssp585,2056,-0.3606812086421911,0.17077058274496254,-1.0773237190131832
ssp585,2057,-0.3477813005481494,0.1906138373669945,-1.0743695376776903
ssp585,2058,-0.41452002514640895,0.12400279596075646,-1.161258931147877
ssp585,2059,-0.41620069353994893,0.14450108804588627,-1.1834630365801173
ssp585,2060,-0.4724133519000979,0.12915384326118431,-1.233023156261303
ssp585,2061,-0.39874156257992155,0.18821530701116887,-1.255233666102987
ssp585,2062,-0.4237061153609005,0.18315902176540916,-1.2586050747528479
ssp585,2063,-0.47449570303577104,0.1772552567122474,-1.3924893355956365
ssp585,2064,-0.4929767475054412,0.17206004210564507,-1.4805679444302757
ssp585,2065,-0.446680930181353,0.19109838596515785,-1.3832690102793008
ssp585,2066,-0.564709395406684,0.13015791787278372,-1.6705904165101093
ssp585,2067,-0.620982753386766,0.09066383862813,-1.655616704204474
ssp585,2068,-0.6147060358521372,0.13494687293130933,-1.7210819167537834
ssp585,2069,-0.6182217437151749,0.10802983350172865,-1.8275250192954338
ssp585,2070,-0.6656582129019384,0.1276616616725626,-2.0103777996909913
ssp585,2071,-0.6940096586064008,0.07193067192184359,-2.012770236286004
ssp585,2072,-0.6166309159048247,0.1385846903251133,-1.6972093589056336
ssp585,2073,-0.7673366329437705,0.0852869622223229,-2.0326774403099774
ssp585,2074,-0.807370573034845,0.04059103624418333,-2.1556020266211027
ssp585,2075,-0.8063454245387582,0.03169668194570813,-2.037015020129664
ssp585,2076,-0.8078275137108726,0.037846748224495345,-2.1002687444198127
ssp585,2077,-0.8835324572576901,0.02698685722596662,-2.331773346226241
ssp585,2078,-0.8556171764106608,0.05983957435083468,-2.3011565450039453
ssp585,2079,-0.8539949544603154,0.02951225092585146,-2.2121698092945934
ssp585,2080,-1.0019358689596984,-0.01946702531743725,-2.6467366893274464
